Date,Service,Direction,Langue,Record_count
12-11-2018,SMS,direct,fr,194
13-11-2018,Call,direct,fr,194
13-11-2018,Chat,direct,fr,130
14-11-2018,Call,direct,fr,189
14-11-2018,Chat,direct,fr,100
15-11-2018,Call,direct,fr,101
15-11-2018,Chat,direct,fr,93
16-11-2018,Chat,direct,fr,22
19-11-2018,Call,direct,fr,241
19-11-2018,Chat,direct,fr,88
19-11-2018,SMS,direct,fr,240
20-11-2018,Call,direct,fr,234
20-11-2018,Chat,direct,fr,126
21-11-2018,Call,direct,fr,190
21-11-2018,Chat,direct,fr,120
22-11-2018,Call,direct,fr,123
22-11-2018,Chat,direct,fr,98
23-11-2018,Chat,direct,fr,31
26-11-2018,Call,direct,fr,234
26-11-2018,Chat,direct,fr,112
26-11-2018,SMS,direct,fr,264
27-11-2018,Call,direct,fr,221
27-11-2018,Chat,direct,fr,164
28-11-2018,Call,direct,fr,231
28-11-2018,Chat,direct,fr,114
29-11-2018,Call,direct,fr,182
29-11-2018,Chat,direct,fr,161
30-11-2018,Chat,direct,fr,29
03-12-2018,Call,direct,fr,226
03-12-2018,Chat,direct,fr,89
03-12-2018,SMS,direct,fr,229
04-12-2018,Call,direct,fr,234
04-12-2018,Chat,direct,fr,117
05-12-2018,Call,direct,fr,203
05-12-2018,Chat,direct,fr,129
06-12-2018,Call,direct,fr,123
06-12-2018,Chat,direct,fr,91
07-12-2018,Chat,direct,fr,45
10-12-2018,Call,direct,fr,208
10-12-2018,Chat,direct,fr,78
10-12-2018,SMS,direct,fr,266
11-12-2018,Call,direct,fr,245
11-12-2018,Chat,direct,fr,112
12-12-2018,Call,direct,fr,203
12-12-2018,Chat,direct,fr,134
13-12-2018,Call,direct,fr,145
13-12-2018,Chat,direct,fr,114
14-12-2018,Chat,direct,fr,34
17-12-2018,Call,direct,fr,229
17-12-2018,Chat,direct,fr,70
17-12-2018,SMS,direct,fr,231
18-12-2018,Call,direct,fr,193
18-12-2018,Chat,direct,fr,127
19-12-2018,Call,direct,fr,190
19-12-2018,Chat,direct,fr,158
20-12-2018,Call,direct,fr,65
20-12-2018,Chat,direct,fr,82
21-12-2018,Chat,direct,fr,7
07-01-2019,SMS,direct,fr,172
08-01-2019,Call,direct,fr,186
08-01-2019,Chat,direct,fr,53
09-01-2019,Call,direct,fr,213
